factor,mv_hits_95,mv_hits_90,mv_sign_consistency,mv_beta_mean,mv_beta_std,median_beta_ts,beta_std_ts,sign_flip_rate,tstat_hit_rate_ts,rank_mv_hits,rank_mv_signcon,rank_ts_low_std,rank_ts_low_flip,rank_ts_hit,final_score
HF FOF Div,2,4,0.3333333333333333,0.3090864109183595,0.3105082783071557,0.22896220313349974,0.5005263043965508,0.059523809523809514,0.2549019607843137,6.5,6.0,5.0,10.0,8.0,7.1
MSCI Canada,2,2,0.6666666666666666,0.1677112885450811,0.2422993866893752,0.03853572147330114,0.2911175209565869,0.04365079365079364,0.3235294117647059,6.5,11.5,10.0,12.0,11.0,10.2
EM Bond,2,2,0.3333333333333333,-0.0436109060369027,0.1253078989874052,-0.012900350764683792,0.4354808523933889,0.07539682539682539,0.20980392156862746,6.5,6.0,6.0,5.5,5.0,5.8
High Yield,4,5,0.3333333333333333,0.1458712354830158,0.2434011490065244,0.04081420930892034,0.34790735980140525,0.09325396825396826,0.19019607843137254,12.0,6.0,7.0,1.0,4.0,6.0
MSCI Japan,0,0,0.3333333333333333,-0.0164303729860707,0.0320911187428869,-0.002249852988563149,0.18318784397559215,0.08333333333333336,0.10784313725490197,1.5,6.0,12.0,3.0,1.0,4.7
Commodities,3,3,0.3333333333333333,0.0557597106390695,0.2916188921709246,0.006918375726190962,0.2923277995893758,0.08928571428571429,0.21764705882352942,10.5,6.0,9.0,2.0,6.0,6.7
US Dollar,0,1,0.3333333333333333,0.0249601434825426,0.2282904528012667,0.05795034906635021,0.2948395665401106,0.08134920634920635,0.15098039215686274,1.5,6.0,8.0,4.0,2.0,4.3
TIPs,2,4,0.3333333333333333,0.1761823835966477,0.4028743811764325,0.10557139023727867,0.6947580966124347,0.07539682539682539,0.30392156862745096,6.5,6.0,3.0,5.5,10.0,6.2
Global AGG,3,3,0.6666666666666666,0.2773303167410738,0.2640426760312722,0.22400202285420007,0.6732876697975322,0.06349206349206349,0.2725490196078431,10.5,11.5,4.0,8.0,9.0,8.6
US Tbill 1-3yr,1,2,0.0,-0.056300745877995,0.8680273095723932,0.17517833407726902,2.5576816177007164,0.07341269841269842,0.2411764705882353,3.0,1.0,1.0,7.0,7.0,3.8
US Muni,2,2,0.3333333333333333,-0.2263756929866897,0.3396239629168171,-0.09331100197830647,1.0297401984185326,0.05555555555555555,0.1803921568627451,6.5,6.0,2.0,11.0,3.0,5.7
Gold,2,2,0.3333333333333333,-0.0173752571006727,0.0860495104715857,0.0051097938658250415,0.20080755736307884,0.061507936507936505,0.41568627450980394,6.5,6.0,11.0,9.0,12.0,8.9
