,mv_hits_95,mv_hits_90,mv_sign_consistency,mv_beta_mean,mv_beta_std
HF FOF Div,2,4,0.3333333333333333,0.3090864109183595,0.3105082783071557
MSCI Canada,2,2,0.6666666666666666,0.16771128854508113,0.24229938668937528
EM Bond,2,2,0.3333333333333333,-0.0436109060369027,0.1253078989874052
High Yield,4,5,0.3333333333333333,0.14587123548301587,0.24340114900652443
MSCI Japan,0,0,0.3333333333333333,-0.016430372986070765,0.032091118742886934
Commodities,3,3,0.3333333333333333,0.055759710639069586,0.2916188921709246
US Dollar,0,1,0.3333333333333333,0.024960143482542652,0.22829045280126678
TIPs,2,4,0.3333333333333333,0.17618238359664776,0.40287438117643254
Global AGG,3,3,0.6666666666666666,0.27733031674107383,0.26404267603127224
US Tbill 1-3yr,1,2,0.0,-0.056300745877995016,0.8680273095723932
US Muni,2,2,0.3333333333333333,-0.22637569298668972,0.3396239629168171
Gold,2,2,0.3333333333333333,-0.01737525710067278,0.08604951047158571
