factor,hits_95,hits_90,median_rsq,mean_rsq,sign_consistency,beta_mean,beta_std,beta_cv
EM Bond,6.0,6.0,0.25130158064609237,0.25271276304242646,1.0,0.5764992217660485,0.418065824116151,0.7251802055078624
Global AGG,6.0,6.0,0.1933762412445641,0.22996199259920955,1.0,0.7128379003957246,0.43268946457852847,0.6069955937215438
MSCI Canada,5.0,5.0,0.34146536379328846,0.3259177003790556,0.6666666666666666,0.3199147506293771,0.3198841794262463,0.999904439529373
MSCI EM Equity,5.0,5.0,0.31933034519677705,0.3203223066372189,1.0,0.28537698830132646,0.27506428881658285,0.9638628904625681
MSCI EAFE,5.0,5.0,0.2762903108383672,0.3086894916779382,0.6666666666666666,0.37001214252297804,0.3744195330171826,1.011911475291433
MSCI Asia ex-J,5.0,5.0,0.26855994344933637,0.2891828732269056,1.0,0.28569642288576486,0.2773319939267537,0.9707226682242137
MSCI Europe,5.0,5.0,0.26461908369330595,0.3033100208897113,0.6666666666666666,0.33560577903960415,0.34823162198444557,1.0376210534274317
MSCI World,5.0,5.0,0.25413998816032773,0.3278422820557377,0.6666666666666666,0.43155890720713835,0.4495841446768098,1.0417677335992928
Commodities,5.0,5.0,0.2224737247531381,0.2568324759095488,0.6666666666666666,0.3305278537321113,0.35164429477770004,1.0638870243644867
Relative Value HF,5.0,5.0,0.2089127549160334,0.24088660357119848,0.6666666666666666,1.1940605911451982,1.1933859166674508,0.999434974670674
US Mid Cap,5.0,5.0,0.2008902365590769,0.31015764460169476,0.6666666666666666,0.37741259805813604,0.4079128081006991,1.080813969110761
US Growth,5.0,5.0,0.186030869550051,0.32451478201513895,0.6666666666666666,0.44845009316301665,0.48933799476222684,1.0911760354641198
S&P500,5.0,5.0,0.18577876317728936,0.301168862618331,0.6666666666666666,0.44694347811579366,0.4875013572563568,1.0907449848254966
MSCI Japan,5.0,5.0,0.15171991625017706,0.15735172844896575,1.0,0.28619235104448065,0.26811564688402273,0.9368372212065681
Gold,5.0,5.0,0.1383273183833234,0.13729862253238448,1.0,0.16925243887166566,0.15436412588751847,0.912034868836672
US Dollar,5.0,5.0,0.0956363081920254,0.1081831305720304,1.0,-0.6380038404357715,0.5989647327757435,0.9388105444094158
HF FOF Div,4.0,5.0,0.33230402905171924,0.2776484281661395,0.6666666666666666,1.1244124320194082,1.140510263632938,1.0143166609992067
Long Short HF,4.0,5.0,0.3302052019661617,0.3391696750586985,0.6666666666666666,0.7885022339302591,0.823800656748978,1.0447664208149805
Event Driven HF,4.0,6.0,0.28650200373743584,0.30026881627033114,0.6666666666666666,0.9830740851801486,1.0519764504304172,1.0700886802814786
High Yield,4.0,5.0,0.19833173472522792,0.22697459765192693,1.0,0.5504945063222385,0.5303039658120855,0.963322902809683
US Value,4.0,5.0,0.18030912275805105,0.26636249091834857,0.6666666666666666,0.40039143493059187,0.43493704119513454,1.0862795835516434
US Small Cap,4.0,4.0,0.15890436224305893,0.26842254236968593,0.6666666666666666,0.30876116227493716,0.350548661549094,1.1353392342648707
US Tbill 1-3yr,3.0,4.0,0.0760891186020774,0.14785687021433666,0.0,-0.7351860357620246,2.8306183960678193,3.8502069658192255
TIPs,3.0,5.0,0.07063111539164824,0.2740971185597681,1.0,0.39307345658697496,0.31940149981014276,0.812574582325318
US AGG,3.0,3.0,0.021779269009337132,0.2443462884619745,0.3333333333333333,0.47998569387125695,0.6447240838253053,1.343215208403465
US Muni,2.0,2.0,0.008343305480669916,0.09708438256378688,0.6666666666666666,0.28013685163594254,0.43394932481325205,1.5490619041283813
